23,4,2041,107200,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
24,4,2051,118500,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
25,5,2016,57200,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
26,5,2021,62057,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
27,5,2021,64000,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
28,5,2031,71900,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
29,5,2041,79600,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
30,5,2051,85800,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
31,6,2016,47300,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
32,6,2021,49864,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
33,6,2021,51400,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
34,6,2031,60800,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
35,6,2041,73900,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
36,6,2051,103000,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
37,7,2016,24700,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
38,7,2021,34637,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
39,7,2021,35700,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
40,7,2031,57100,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
41,7,2041,88700,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
42,7,2051,128600,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
43,8,2016,46800,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
44,8,2021,47642,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
45,8,2021,49100,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
46,8,2031,56500,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
47,8,2041,65500,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
48,8,2051,70500,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
49,9,2016,25300,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
50,9,2021,27333,"Historical Census Actual",,Yes,"Statistics Canada, 2021 Census of Population","Actual Census population; separate from York Region ROP 2022 planning forecast."
51,9,2021,28100,"York Region planning forecast","York Region Official Plan 2022",No,"York Region","Values reproduced exactly from supplied Table 1."
52,9,2031,36300,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
53,9,2041,43500,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
54,9,2051,51000,"York Region planning forecast","York Region Official Plan 2022",Yes,"York Region","Values reproduced exactly from supplied Table 1."
