YR_Development_Key,Municipality_ID,Development_ID,Site_Development,CRE_Type,Application_ID_Raw,Current_Status,Units,Unit_Type,Confidence,Source_Date,Evidence_Notes,Source_URL,Record_Scope
AU-A014,5,A014,"36 Industry Street","Residential / Apartment",ZBA-2024-04,"Under Review",97,"",A,2026-09-05,"Employment-land conversion is a CRE land-use signal; monitor employment displacement.",https://records.aurora.ca/WebLink/edoc/28162/Agenda%20-%20Public%20Planning%20-%2020241112.pdf,""
AU-A015,5,A015,"271 Holladay Drive","Purpose-built Rental / Apartment","OPA-2021-04; ZBA-2020-05; SP-2021-10","OLT / Status Requires Reconciliation",155,"",B,2026-09-05,"Appeal history exists; retain 155 as proposal quantity, not confirmed deliverable supply.",https://www.aurora.ca/en/business-and-development/resources/2022-Applications-Forms/Clerks-Notice-of-CMC---May-20-2022-01956887-2xCDE1C.pdf,""
AU-A016,5,A016,"65 St. John's Sideroad East","Residential / Townhouse","OPA-2023-04; ZBA-2023-04; SP-2023-13","OLT / Reconciliation Required",45,"",B,2026-09-05,"Do not count as approved supply without current OLT disposition.",https://records.aurora.ca/WebLink/edoc/27315/Agenda%20-%20Public%20Planning%20-%2020240123.pdf,""
AU-A017,5,A017,"1426 & 1452 Wellington Street East","Residential / Townhouse","OPA-2025-10; ZBA-2025-09; ZBA-2022-06; SUB-2026-01",Approved,74,"",A,2026-09-05,"Recent approval; track subdivision implementation.",https://www.aurora.ca/news/posts/highlights-of-the-meeting-of-council-on-tuesday-may-26-2026/,""
AU-A018,5,A018,"14094 / 14108 / 14122 Yonge Street","Residential / Townhouse","OPA-2025-09; ZBA-2025-08","Under Review",76,"",A,2026-09-05,"Complete application, not approval.",https://www.aurora.ca/media/onvf3f03/notice-of-complete-application-14094-14108-and-14122-yonge-street-opa-2025-09-zba-2025-08.pdf,""
EG-EG001,7,EG001,"Green Earth Village","Mixed-use Residential / Greenfield","CDP.25.02; ZBA.26.01; 19T-26001","Approved OPA/ZBA; Subdivision Under Review",1,"",A,2026-09-05,"Do not treat 1,743 as registered/serviced supply; subdivision is still under review.",https://www.eastgwillimbury.ca/en/government/green-earth-village-royalpark-homes-and-signature-communities.aspx,""
EG-EG002,7,EG002,"19291 Leslie Street & 2016 Farr Avenue","Greenfield Residential","ZBA.25.14; 19T-25002","Under Review",830,"",A,2026-09-05,"Public meeting held Dec. 16, 2025; not approved.",https://www.eastgwillimbury.ca/en/government/19291-leslie-street-and-2016-farr-avenue-klm-planning-partners-inc.aspx,""
EG-EG003,7,EG003,"18830/18858/18880 2nd Concession","Greenfield Residential / New Community",OPA.25.04,"Under Review",1,"",A,2026-09-05,"This is a master planning proposal; do not add future component applications until linked by Development_ID.",https://www.eastgwillimbury.ca/en/government/18830-18858-18880-2nd-concession-macaulay-shiomi-howson-ltd.aspx,""
EG-EG004,7,EG004,"Queensville Phase 8 – 1002 Doane Road","Greenfield Residential","ZBA.23.01; 19T-23001",Approved,344,"",A,2026-09-05,"Use the stated total of 344; flag component arithmetic inconsistency.",https://www.eastgwillimbury.ca/en/government/1002-doane-road-queensville-properties.aspx,""
EG-EG005,7,EG005,"S/W Corner 9th Line & Mount Albert Road","Residential / Mixed Housing","ZBA.25.15; related ZBA.24.04; 19T-24001","Under Review",79,"",A,2026-09-05,"Previous registered application 19T-13001 is separate and should not be added.",https://www.eastgwillimbury.ca/en/government/s-w-corner-of-9th-line-mount-albert-road.aspx,""
EG-EG006,7,EG006,"18642 Leslie Street","Residential / Live-Work","OPA.24.01; ZBA.25.09","Under Review",40,"",A,2026-09-05,"Heritage retention/live-work component should be tracked separately in land-use analysis.",https://www.eastgwillimbury.ca/en/government/18642-leslie-street-18642-leslie-street-gp-ltd.aspx,""
EG-EG007,7,EG007,"1402–1410 Mount Albert Road","Purpose-built Rental / Apartment","OPA.25.02; ZBA.25.05","Under Review",142,"",A,2026-09-05,"Public meeting held July 24, 2025; not approved.",https://www.eastgwillimbury.ca/en/government/1402-1410-mount-albert-road-goldberg-group.aspx,""
EG-EG008,7,EG008,"19061/19071/19083 Leslie Street","Mixed-use Residential / Rental + Condo","OPA.25.05; ZBA.25.18","Under Review",139,"",A,2026-09-05,"Public meeting held Feb. 24, 2026; Town-owned land request for parking is separate from unit count.",https://www.eastgwillimbury.ca/en/Planning-and-Development/Active-Applications/19061%2C-19071%2C-19083-Leslie-St-OPA-ZBA/Public-Notice-%28OPA.25.05-and-ZBA.25.18%29.pdf,""
EG-EG009,7,EG009,"Manor Hampton Street & Sharon Creek Drive","Residential / Townhouse","ZBA.26.04; SPA.26.04","Under Review",35,"",A,2026-09-05,"Public meeting held June 23, 2026.",https://www.eastgwillimbury.ca/en/government/manor-hampton-street-and-sharon-creek-drive-humphries-planning-group-inc.aspx,""
EG-EG010,7,EG010,"1–9 Kiteley Crescent","Residential / Townhouse Component","ZBA.26.03; SPA.26.01","Under Review",16,"",A,2026-09-05,"Component of 19T-08004; exclude from municipality KPI to avoid double counting the parent subdivision.",https://www.eastgwillimbury.ca/en/government/1-9-kiteley-crescent-sharonvit-estates-inc.aspx,""
EG-EG011,7,EG011,"North of Green Lane & west of Leslie – Sharonvit","Greenfield Residential",19T-08004,"Active / Historical Parent",286,"",A,2026-09-05,"Do not add EG010 (16 units) to 286; it is a component/revision within this parent framework.",https://www.eastgwillimbury.ca/en/government/north-of-green-ln-and-west-of-leslie-st-sharonvit-estates-inc.aspx,""
EG-EG012,7,EG012,"North of Green Lane & west of Leslie – Acorn","Greenfield Residential",19T-14001,"Active / Historical Parent",295,"",A,2026-09-05,"EG013 is a component/redline/site-plan record within this parent framework; do not sum it again.",https://www.eastgwillimbury.ca/en/government/north-of-green-ln-and-west-of-leslie-st-acorn-development-corp.aspx,""
EG-EG013,7,EG013,"18490 & 18508 Leslie Street","Residential / Stacked Townhouse Component","ZBA.21.06; SPA.21.15; 19T-14001","Approved ZBA; Site Plan Under Review",65,"",A,2026-09-05,"Component of EG012 parent subdivision. Exclude from KPI.",https://www.eastgwillimbury.ca/en/government/18490-18508-leslie-street-acorn-developments.aspx,""
EG-EG014,7,EG014,"West of 2nd Concession, south of Doane Road","Greenfield Residential",19T-09002,"Active / Historical Parent",661,"",A,2026-09-05,"Long-running subdivision record; current registration/build-out status should be checked before transaction-level use.",https://www.eastgwillimbury.ca/en/government/west-of-2nd-con-south-of-doane-road-minto-communities.aspx,""
EG-EG015,7,EG015,"South of Mount Albert Road – West Sharon / Ashley Park","Greenfield Residential",19T-11001,"Active / Historical Parent",148,"",A,2026-09-05,"Parent subdivision record; status should be reconciled against registration/build-out.",https://www.eastgwillimbury.ca/en/government/south-of-mount-albert-rd-and-west-of-leslie-st-ashley-park-developments-sharon-inc.aspx,""
EG-EG016,7,EG016,"South of Mount Albert Road – Elderbank","Greenfield Residential",19T-08001,"Active / Historical Parent",291,"",A,2026-09-05,"Long-running parent subdivision; current registration/build-out status should be reconciled.",https://www.eastgwillimbury.ca/en/government/south-of-mount-albert-rd-and-west-of-leslie-st-elderbank-investments-inc.aspx,""
EG-EG017,7,EG017,"South of Mount Albert Road – West Sharon Holding","Greenfield Residential",19T-18003,"Active / Historical Parent",355,"",A,2026-09-05,"Long-running parent subdivision; do not infer current deliverability from historical draft plan alone.",https://www.eastgwillimbury.ca/en/government/south-of-mount-albert-rd-and-west-of-leslie-st-west-sharon-holding-inc.aspx,""
EG-EG018,7,EG018,"South of Mount Albert Road – Sundial","Greenfield Residential",19T-07002,"Active / Historical Parent",396,"",A,2026-09-05,"Long-running parent subdivision; current registration/build-out status requires reconciliation.",https://www.eastgwillimbury.ca/en/government/south-of-mount-albert-rd-and-west-of-leslie-st-sundial-homes-sharon-ltd.aspx,""
EG-EG019,7,EG019,"18326 Leslie Street","Commercial / Mixed-use","OPA.20.01; ZBA.20.02",Approved,,"",A,2026-09-05,"No residential units counted.",https://www.eastgwillimbury.ca/en/government/18326-leslie-st-south-sharon-development-corporations.aspx,""
EG-EG020,7,EG020,"18363 Leslie Street","Employment / Industrial / Office","19T-22002; ZBA.22.08","Under Review",,"",A,2026-09-05,"Important employment-land pipeline; CWC referred rezoning report back to staff in 2026.",https://www.eastgwillimbury.ca/en/government/18363-leslie-street-rice-group.aspx,""
EG-EG021,7,EG021,"17611 Woodbine Avenue","Employment / Industrial / Office",SPA.18.06,"Under Review",,"",A,2026-09-05,"Current Town page says under review; do not use historical approval wording as current status.",https://www.eastgwillimbury.ca/en/government/17611-woodbine-ave-685109-ontario-ltd-kelson.aspx,""
EG-EG022,7,EG022,"1656 Green Lane East – Rice Group","Industrial / Warehouse",SPA.21.18,Approved,,"",A,2026-09-05,"Eastern portion of 1656 Green Lane; separate from NewRoads western parcel.",https://www.eastgwillimbury.ca/en/government/1656-green-lane-east-rice-group.aspx,""
EG-EG023,7,EG023,"1656 Green Lane East – NewRoads Toyota","Automotive Commercial",SPA.24.10,"Under Review",,"",A,2026-09-05,"Separate western portion; must not be merged with EG022.",https://www.eastgwillimbury.ca/en/government/1656-green-lane-east-newroads-automotive-group.aspx,""
EG-EG024,7,EG024,"2 Don Rose Boulevard","Retail / Commercial",SPA.16.01,"Approved / Agreement in Progress",,"",A,2026-09-05,"No residential units counted.",https://www.eastgwillimbury.ca/en/government/2-don-rose-boulevard.aspx,""
EG-EG025,7,EG025,"19267 Centre Street","Mixed-use Residential / Commercial","CDM.21.01; CDM.21.02","Approved / Servicing Allocation",74,"",A,2026-09-05,"Use 74 residential units; 10 commercial units are non-residential. Awaiting servicing allocation.",https://www.eastgwillimbury.ca/en/government/19267-centre-street.aspx,""
EG-EG026,7,EG026,"Jeffrey Crescent & Leslie Street","Residential / Townhouse","19T-20211; ZBA.21.01","OLT / Reconciliation",14,"",B,2026-09-05,"Exclude from approved supply until current OLT disposition is confirmed.",https://www.eastgwillimbury.ca/en/government/jeffrey-cres-and-leslie-st-groundswell-urban-planners-inc.aspx,""
EG-EG027,7,EG027,"19851/19879/19935 2nd Concession – Queensville Phase 9","Greenfield Residential","19T-18001; ZBA.18.06",Approved,,"",A,2026-09-05,"Town page does not provide a reliable total townhouse unit count; retain as unquantified.",https://www.eastgwillimbury.ca/en/government/19851-19879-19935-2nd-concession-road-queensville-phase-9.aspx,""
GE-G001,8,G001,"E/S The Queensway North (Ballymore)",Residential,"01.150 / ZBA-2026-0016","Conditional / Holding Removal",41,"Single detached",A,2026-08-14,"Draft-approved subdivision; current application removes holding symbols to facilitate 41 dwellings.",https://www.georgina.ca/sites/default/files/2026-08/zba-2026-0016-noca-intention-to-remove-a-h-symbol-aug-14-2026.pdf,Current
GE-G002,8,G002,"0 & 140 Cook's Bay Drive",Residential,"ZBA-2026-0006; B06-23/B07-23/CON-2026-0015","Active Planning Pipeline",6,"Single detached",A,2026-08-06,"Six single detached dwellings; related consent applications for lot creation.",https://www.georgina.ca/sites/default/files/2026-08/zba-2026-0006-notice-of-complete-application.pdf,Current
GE-G003,8,G003,"169 Old Homestead Road",Residential,"SUB-2026-0002 / 03.1156","Active Planning Pipeline",13,"Single detached",A,2026-07-30,"Draft plan for 13 single-detached lots; related ZBA has been ongoing since 2021.",https://www.georgina.ca/sites/default/files/2026-07/notice-of-complete-application_sub-2026-0002-03.1156.pdf,Current
GE-G004,8,G004,"235 Catering Road – Ainslie Hill II",Residential,"01.166 / 02.208 / 03.1185","Active Planning Pipeline",614,"528 singles + 86 townhouses",A,2026-06-24,"Revised proposal: 528 single-detached lots and 86 townhouse units; previously 567 singles + 400 townhouses.",https://www.georgina.ca/sites/default/files/2026-06/01.166-02.208-03.1185-notice-of-council-meeting.pdf,Current
GE-G005,8,G005,"Mel's Lane",Residential,"01.158 / 01.159 / 03.1166","Active Planning Pipeline",78,"20 semi-detached + 58 townhouses",A,2026-05-27,"Residential condominium development; Council reconsideration process after the 2022 public meeting.",https://www.georgina.ca/sites/default/files/2026-06/01.158-01.159-03.1166-notice-of-council-meeting-rev-jun-17-2026.pdf,Current
GE-G006,8,G006,"49 Lorne Street",Residential,"02.201 / 03.1168","Active Planning Pipeline",66,"5-storey condominium apartment",A,2026-06-03,"Revised OPA/ZBA for 66-unit apartment building used with existing hotel facility.",https://www.georgina.ca/sites/default/files/2026-06/revised-notice-of-public-meeting-02.201-03.1168.pdf,Current
GE-G007,8,G007,"49 Brule Lakeway",Residential,ZBA-2025-0010,"Active Planning Pipeline",2,"Residential lots",A,2026-02-10,"Severance to create one additional residential lot; total of two lots proposed.",https://www.georgina.ca/sites/default/files/2026-02/zba-2025-0010-notice-of-complete-application.pdf,Current
GE-G008,8,G008,"23143 Woodbine Avenue",Industrial,"SUB-2025-0001 / ZBA-2025-0009","Commercial / Employment Pipeline",,"Industrial subdivision",A,2025-12-19,"Industrial subdivision with temporary outdoor storage use proposed.",https://www.georgina.ca/sites/default/files/2026-02/sub-2025-0001-zba-2025-0009-notice-of-complete-application_dec-19-2025.pdf,Current
GE-G009,8,G009,"20962 Dalton Road",Commercial,03.1181,"Commercial / Employment Pipeline",,"6 commercial condo units",A,2026-01-28,"Second storey to existing commercial building; six commercial condominium units proposed.",https://www.georgina.ca/sites/default/files/2026-02/03.1181-notice-of-upcoming-council-meeting-2026-01-28-002.pdf,Current
GE-G010,8,G010,"810 & 812 Rockaway Avenue",Residential,OPA-2025-0006,"Active Planning Pipeline",3,"Residential lots",A,2026-02-10,"OPA to enable consent/severance into three residential building lots.",https://www.georgina.ca/sites/default/files/2026-02/opa-2025-0006-notice-of-complete-application.pdf,Current
GE-G011,8,G011,"183 Simcoe Avenue","Mixed-use Residential","02.204 / 03.1176","Approved / Implementation",88,"8-storey mixed-use + 8 semi-detached",A,2026-05-13,"Revised applications approved by Council: eight-storey mixed-use residential/commercial building plus eight semi-detached dwellings.",https://www.georgina.ca/sites/default/files/2026-05/council-highlights-may-13.pdf,Current
GE-G012,8,G012,"1933 Metro Road North",Residential,03.1175,"Verification Required",2,"Semi-detached; accessory apartments proposed",A,2023-07-26,"Semi-detached dwelling with one accessory apartment in each unit; primary dwelling count = 2.",https://www.georgina.ca/sites/default/files/2023-07/Notice%20of%20Complete%20Application%20and%20Public%20Meeting%20-%2003.1175%20-%201933%20Metro%20Rd%20N.pdf,"Current but status refresh required"
GE-G013,8,G013,"24996 Woodbine Avenue – Orchidtrail Phase 2",Residential,"01.160 / 03.1169","Planning / Status Refresh",239,"125 singles + 114 street townhouses",A,2024-09-18,"Orchidtrail Phase 2 proposal; includes 125 single detached lots and 114 street townhouse units.",https://www.georgina.ca/sites/default/files/2024-09/notice-of-public-meeting.pdf,"Current record; status refresh"
GE-G014,8,G014,"Dovedale Drive / Greengate Village","Residential Rental",03.1182,"Planning / Status Refresh",20,"Townhouse rental",A,2024-01-25,"ZBA to facilitate 20 townhouse rental units.",https://www.georgina.ca/sites/default/files/2024-01/03.1182%20Notice.pdf,"Current record; status refresh"
GE-G015,8,G015,"N/S Ravenshoe Road – Garland Community",Residential,"01.157 / 01.163 / 03.1161","Planning / Status Refresh",416,"186 singles + 161 street townhouses + 69 condo townhouses",A,2022-12-23,"Residential development proposal totaling 416 dwellings.",https://www.georgina.ca/sites/default/files/2023-01/01.157%20%26%2003.1161%20-%20NofPM%20-%20web%20and%20circ.pdf,"Current record; status refresh"
GE-G016,8,G016,"E/S The Queensway North – Ballymore Phase",Residential,"01.150 / 03.1138","Planning / Status Refresh",77,"Single detached",A,2022-11-18,"Draft plan for 77 single detached lots; later Ballymore 41-unit holding-removal application is a related development/version and should be GIS-reconciled.",https://www.georgina.ca/sites/default/files/2022-11/NofPM%20-%20Website%20and%20Circulation.pdf,"Potential parent/version overlap"
GE-G017,8,G017,"27, 33 & 43 The Queensway South","Residential Rental",03.1157,"Planning / Status Refresh",84,"Rental apartment",A,2023-05-31,"Second public meeting notice identifies an 84-unit rental-tenure apartment proposal.",https://www.georgina.ca/sites/default/files/2023-06/03.1157%20-%20NTC%20of%20PM%20with%20Site%20Plan.pdf,"Current record; status refresh"
GE-G018,8,G018,"187–195 The Queensway South – Affordable Housing","Residential / Institutional","HYI / York Region project","Approved / Implementation",86,"5-storey; affordable/community/transitional + emergency housing",A,2026-01-21,"86 units with 8,000 sq ft multi-purpose community space. Current project should supersede the older 49-townhouse proposal at the same address if GIS/title confirms.",https://www.georgina.ca/living-here/planning-and-development/affordable-housing-georgina,Current
GE-G019,8,G019,"48 Glenwoods Avenue","Institutional / LTC",03.1189,"Planning / Institutional Pipeline",,"192-bed LTC + commercial component",A,2025-01-29,"Four-storey/192-bed long-term care facility; associated commercial space identified in site plan.",https://www.georgina.ca/sites/default/files/2025-01/03.1189-notice-of-upcoming-council-meeting.pdf,"Current record; status refresh"
GE-G020,8,G020,"772 The Queensway South",Residential,"02.206 / 03.1178","Planning / Status Refresh",42,"Stacked townhouses",A,2023-10-18,"Council materials describe 42 stacked townhouse dwelling units; holding/allocation context applies.",https://www.georgina.ca/sites/default/files/2023-10/Council%20Highlights_0.pdf,"Current record; status refresh"
GE-G021,8,G021,"9 Sina Street",Residential,02.203,"Planning / Status Refresh",2,"Residential lots",A,2023-05-12,"OPA to facilitate severance into two residential building lots.",https://www.georgina.ca/sites/default/files/2023-05/Notice%20of%20Complete%20Application%20and%20Public%20Meeting%20-%209%20Sina%20Street%20%2802.203%29%20%28002%29.pdf,"Current record; status refresh"
GE-G022,8,G022,"24082 Woodbine Avenue & 4 Riverglen Drive",Residential,"01.149 / 01.164 / 03.1132","Planning / Status Refresh",,"Draft plan/common-element condominium; unit count not reliably confirmed",B,2023-03-10,"Material development application identified; current unit count not carried into KPI without a reliable current source.",https://www.georgina.ca/living-here/planning-and-development/planning-public-notices?page=7,"Verification required"
KG-K001,9,K001,"13130–13176 Dufferin Street","Mixed-use Residential / Employment Conversion","Z-2022-08; 19T-22-K02","Under Review",347,"",A,2026-09-05,"Employment-General land conversion; 347 is the same application's component total.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-complete-application-concerning-6,""
KG-K002,9,K002,"12764–12800 Keele Street","Residential Apartment / MTSA","OP-2021-05; Z-2021-15; By-law 2022-083","Approved / Holding",234,"",A,2026-09-05,"Earlier application stated 247 units; enacted zoning controls current working entitlement at 234.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-passing-zoning-law-12764-12780-12796-0,""
KG-K003,9,K003,"12734 Keele Street","Residential Apartment / MTSA","OP-2022-01; Z-2022-03","Under Review",78,"",A,2026-09-05,"Complete application; approval not established.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-complete-application-concerning-5,""
KG-K004,9,K004,"326 Main Street, Schomberg","Mixed-use Residential / Heritage",Z-2021-14,"Under Review",99,"",A,2026-09-05,"Earlier application stated 73 units; later 2025 update is the working quantity.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-public-information-consultation,""
KG-K005,9,K005,"125, 137–145 Dew Street","Residential / Townhouse",Z-2024-11,"Under Review",32,"",A,2026-09-05,"Public meeting occurred March 3, 2025; not treated as approved.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-public-planning-meeting-march-3rd-2025,""
KG-K006,9,K006,"2072–2096 King Road & 31 William Street","Residential Apartment / Urban Centre","OP-2024-05; Z-2024-15","Under Review",190,"",A,2026-09-05,"Earlier complete application stated 170 units; latest 2026 proposal is 190.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-public-planning-meeting-may-25th-2026,""
KG-K007,9,K007,"30–50 Station Road & 10 West Street","Residential / Townhouse / GO Station Area","OP-2025-02; Z-2025-017; 19T-25-K01","Under Review",29,"",A,2026-09-05,"Complete application; approval not established.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-complete-applications-concerning-6,""
KG-K008,9,K008,"12739 Keele Street & 19 Patricia Drive","Residential Apartment / MTSA","Z-2025-18; SPD-25-17","Under Review",41,"",A,2026-09-05,"Public planning meeting held March 30, 2026; approval not established.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-public-planning-meeting-march-30th-0,""
KG-K009,9,K009,"12805 Highway 27","Greenfield Residential / Employment Conversion","Z-2022-05; OP-2022-02; 19T-22K01","Under Review / Long-term",429,"",A,2026-09-05,"Major Nobleton greenfield project; employment-to-neighbourhood conversion is a key land-use signal.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-complete-application-and-public-1,""
KG-K010,9,K010,"2710 King Road & 13371 Jane Street","Greenfield Residential / Draft Plan Revision","19T-06K01; Z-2025-06","Under Review",,"",B,2026-09-05,"Do not use the old 115-apartment figure as current total supply.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-public-planning-meeting-june-2-2025,""
KG-K011,9,K011,"13450 & 13500 Highway 27","Greenfield Residential / Draft Plan Revision","Z-2026-03; 19T-26-K03","Under Review",,"",B,2026-09-05,"Keep separate from the withdrawn 13580–13582 Highway 27 application.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-complete-applications-public-planning,""
KG-K012,9,K012,"66 Main Street, Schomberg","Residential / Townhouse Condominium","19CDM-21-K01; Z-2017-04; SPD-17-53","Approved / Implementation",24,"",A,2026-09-05,"Implementation of an existing parent development; do not double-count the condo application.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-proposed-draft-plan-condominium,""
KG-K013,9,K013,"4129 Highway 9 & 17380–17400 Weston Road","Rural / Agricultural / Lot Reconfiguration",Z-2025-16,"Under Review",,"",A,2026-09-05,"No new residential unit count stated; excluded from residential KPI.",https://www.king.ca/your-local-government/news-and-notices/news-releases/notice-public-planning-meeting-february-2-2026,""
MK-M001,2,M001,"","Greenfield Residential",,"OPA Approved / Subdivision Review",2877,"",A,"","Approx. 2,877 detached/townhouse/medium-density units; school, park, natural heritage","",""
MK-M002,2,M002,"","VMC/MTSA Mixed-use",,"Under Review",3771,"",A,"","5 blocks; 3,771 high-rise units + 13,944 m² commercial; Block 3 = 1,002 units and is a component","",""
MK-M003,2,M003,"","Mixed-use Residential/Retail",,"Approved / Phase 1",1881,"",A,"","Phase 1 of 28.2-ha overall Markville redevelopment; 1,999 m² commercial","",""
MK-M004,2,M004,"","Mixed-use Residential/Retail",,"Under Review",1711,"",A,"","Existing Longo's/supermarket site; 4 towers, 3,582 m² non-residential; grocery displacement flag","",""
MK-M005,2,M005,"","Mixed-use Residential/Office",,"Under Review",1183,"",A,"","Existing banquet hall + two office buildings; 4 buildings, 9-42 storeys; employment/office displacement flag","",""
MK-M006,2,M006,"","Mixed-use Residential",,"Under Review",1218,"",A,"","3 towers, 30-35 storeys; public road + 0.15-ha park","",""
MK-M007,2,M007,"","Residential High-rise / Townhouse",,Approved,819,"",A,"","3 apartment buildings + townhouses + heritage dwelling + public park; heritage QA","",""
MK-M008,2,M008,"","Greenfield Mixed-use Residential",,"Under Review",847,"",A,"","345 detached +112 townhouse +153 estimated mixed-use mid-rise +86 future units +151 part-lots; do not double count","",""
MK-M009,2,M009,"","Purpose-built Rental / Mixed-use",,"Approved / Holding",425,"",A,"","33-storey PBR; daycare/banquet/community uses; existing place of worship retained","",""
MK-M010,2,M010,"","Purpose-built Rental / Mixed-use",,Approved,401,"",A,"","39-storey PBR; 611 m² retail; 0.45-ha public park; multiple applications are one development","",""
MK-M011,2,M011,"","Mixed-use Residential/Retail",,Approved,591,"",A,"","12- and 30-storey mixed-use; 350 m² retail; former used-car/truck-repair site","",""
MK-M012,2,M012,"","Residential Mid-rise",,"Under Review",701,"",A,"","3 x 12-storey residential buildings; former car dealership site","",""
MK-M013,2,M013,"","Mixed-use Residential",,"Under Review",864,"",A,"","35- and 30-storey towers + 8-storey podium; existing commercial plaza","",""
